Epoch time,Latitude,Longitude,Pressure (Pa),Radiation (cps)
1682793098.7716913,37.883246,-122.236518,409.53938773406657,24.2
1682793112.2721865,37.883246,-122.236518,411.55169046233857,22.6
1682793126.2404146,37.883246,-122.236518,412.46780923176914,22.2
1682793140.091685,37.883246,-122.236518,339.6299783026519,17.4
1682793153.7672033,37.882958,-122.234265,413.42200124560645,29.6
1682793167.571981,37.882871,-122.234088,415.3798423858524,39.6
1682793181.5440285,37.882871,-122.234088,419.271161703218,35.8
1682793195.3491292,37.882953,-122.233656,419.85461647549835,34.6
1682793209.1731155,37.883403,-122.233604,420.20705246497346,35.2
1682793222.8818123,37.883468,-122.23367,420.9026136908551,37.4
1682793236.5905662,37.88265,-122.233313,350.18163845858777,30.4
1682793250.6161168,37.88265,-122.233313,418.51208403502187,32.2
1682793264.7133627,37.88265,-122.233313,424.25363343210245,35.6
1682793278.5380478,37.88211,-122.232541,424.5646421991373,30.8
1682793292.548973,37.881886,-122.232163,398.84554477646066,33.0
1682793306.7903593,37.881785,-122.23192,408.92465260007384,30.0
1682793320.5543542,37.881896,-122.231911,417.1753716511381,26.4
1682793334.3264282,37.881693,-122.231836,392.6333279051678,22.4
1682793348.0017686,37.881305,-122.231615,379.94464927656094,24.2
1682793361.5920918,37.881273,-122.231668,420.81944698506857,26.0
1682793375.4327605,37.881115,-122.231633,430.27716273924887,28.2
1682793389.2256424,37.880896,-122.231625,331.12441481484495,21.8
1682793402.7838194,37.880833,-122.231596,394.5684502926926,26.0
1682793416.6005375,37.881211,-122.231725,404.9409062761265,29.4
1682793430.4350512,37.881188,-122.231706,307.7508519733225,28.2
1682793443.8819177,37.88113,-122.231771,429.5393371564163,31.4
1682793457.726315,37.881091,-122.231783,437.4232957863827,30.2
1682793472.1411335,37.881126,-122.231861,437.25934287276175,29.6
1682793489.1444416,37.881035,-122.23171,437.3401626441653,27.2
1682793503.2444978,37.88077,-122.231668,437.01228913782813,28.0
1682793517.1226199,37.881066,-122.231766,437.50662304745276,29.2
1682793530.9937978,37.881113,-122.231749,437.2704720655968,25.8
1682793545.0595622,37.881128,-122.231826,437.63388645267787,26.6
1682793559.1490924,37.881225,-122.231808,437.8060590634673,32.2
1682793572.8027658,37.881576,-122.23169,438.1562868905322,25.0
1682793586.7860107,37.881293,-122.23183,438.18208073105427,30.8
1682793600.8712275,37.88128,-122.23191,438.424509229332,26.4
1682793614.517649,37.881245,-122.231881,438.42600449196334,23.2
1682793628.840802,37.881211,-122.231838,437.18919549141526,29.6
1682793642.6870427,37.881216,-122.231798,436.3961195542771,28.0
1682793656.4524906,37.881146,-122.231738,436.16479830794583,27.0
1682793670.6085796,37.881056,-122.231584,436.57340052276277,26.6
1682793684.7113883,37.881494,-122.231685,436.9718541678591,28.4
1682793698.393537,37.881571,-122.23182,437.03481481233354,23.4
1682793712.502365,37.881585,-122.231886,439.8368954458462,38.8
1682793726.6302552,37.881718,-122.232213,444.5237404549928,42.0
1682793740.6557882,37.881676,-122.232405,447.91543335639744,45.4
1682793754.3326435,37.881895,-122.23253,450.5366941721097,42.4
1682793768.439507,37.882033,-122.232548,452.4175574058411,44.2
1682793782.4931097,37.881811,-122.23257,455.49415640974894,41.4
1682793796.237873,37.882008,-122.232546,457.92958705965447,42.8
1682793810.2826314,37.882063,-122.23282,460.57646253810094,39.0
1682793824.3531098,37.881993,-122.232848,462.75038966124475,44.2
1682793838.1591554,37.881836,-122.232986,464.90453827167937,37.8
1682793852.3603907,37.881915,-122.233246,467.03819754847336,43.6
1682793866.296312,37.882025,-122.233324,470.92752026095195,35.2
1682793880.3195882,37.881898,-122.233561,474.33455364499184,39.4
1682793894.3706582,37.881876,-122.233541,476.27589312963664,32.2
1682793908.6113977,37.881886,-122.233548,477.2672479657506,39.4
