PM 1.0,PM 2.5,PM 10,temperature,gas,pressure,altitude,relative humidity,time
0,0,1,24.580390625,190969,997.1570533936008,134.85465685463618,16.554809125890504,1677108730.303267
0,1,2,24.6223828125,190637,997.1564474174812,134.8597678490454,16.526485029491305,1677108731.4961417
0,1,2,24.660078125,190307,997.162772766134,134.80641798016813,16.5080914202753,1677108732.6899092
0,0,2,24.6946484375,190858,997.1691798443405,134.75237905931618,16.474325677447922,1677108733.884043
0,0,2,24.753046875,190087,997.1676514125522,134.76527021471674,16.45697287657109,1677108735.0807328
0,0,2,24.8065625,191190,997.1667965769808,134.77248010719686,16.429232094637012,1677108736.273343
0,1,2,24.872578125,190087,997.1638096848707,134.79767232576782,16.412259126352833,1677108737.4670327
0,1,2,24.9352734375,188132,997.164090478678,134.79530403575788,16.384977364370574,1677108738.6604407
0,1,2,24.97765625,189213,997.1640675076947,134.79549777915005,16.35667923964902,1677108739.8527513
0,1,2,25.0130078125,192532,997.1523570692457,134.894267206605,16.31282699223684,1677108741.045391
0,1,2,25.0532421875,192082,997.150511176706,134.90983611578852,16.26922789682672,1677108742.238997
0,1,2,25.10890625,190637,997.1566740105795,134.85785669083356,16.23146994324543,1677108743.4318519
0,1,2,25.156953125,191524,997.1554573022818,134.8681187994619,16.18320926150035,1677108744.6246395
0,1,2,25.2128125,191859,997.1548745850101,134.8730336277039,16.13534545375993,1677108745.8169324
0,1,2,25.2716015625,190858,997.1609045933457,134.82217467571505,16.092695863659195,1677108747.0118437
0,1,2,25.32140625,192082,997.1625721301349,134.8081101995583,16.054668530038846,1677108748.2051942
0,1,2,25.357734375,192644,997.1612322104688,134.81941145888024,16.005865219868646,1677108749.3985476
0,1,2,25.3915234375,192644,997.1574324053068,134.85146015121643,15.951893832856832,1677108750.5915937
0,1,2,25.4079296875,192532,997.1600056298997,134.82975679516616,15.907198359307987,1677108751.7848487
0,1,2,25.4247265625,192532,997.1649883651813,134.7877310246726,15.872642179619403,1677108752.978157
0,1,2,25.4378125,192082,997.1585226891905,134.84226436098578,15.837912952605278,1677108754.1713235
0,1,2,25.4282421875,193550,997.1567293217165,134.85739017917837,15.802089981491447,1677108755.3651168
0,1,2,25.41359375,194694,997.1570761387957,134.85446501451267,15.786228663295947,1677108756.5584815
0,1,2,25.400703125,194694,997.1603406028166,134.82693153540242,15.755311863449359,1677108757.7510698
0,0,1,25.3846875,194349,997.1566535646073,134.85802913864754,15.734346860238327,1677108758.9441557
0,0,1,25.345625,195736,997.155219605425,134.8701236122923,15.702182667954776,1677108760.138699
0,0,1,25.2848828125,196906,997.154773569643,134.87388562461956,15.679073712779337,1677108761.3376455
